,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities,not_a_superhost,superhost
3073,80939.0,6,2.0,3.0,100.0,4,6,1,0,0,0,1,0,1.5,19.0,1,0
3074,28598.0,2,1.0,2.0,500.0,1,55,0,0,0,1,0,1,2.0,11.0,1,0
3075,38531.0,2,1.0,1.0,42.0,1,51,1,0,0,0,1,0,1.0,19.0,1,0
3076,80939.0,2,1.0,1.0,24.0,1,111,1,0,0,0,1,0,1.0,19.0,1,0
3077,23411.0,2,1.0,2.0,24.0,15,20,1,0,0,0,1,0,1.0,12.0,1,0
3078,22164.0,8,3.0,4.0,273.0,2,109,1,0,0,0,1,0,2.5,7.0,0,1
3079,80939.0,2,1.0,1.0,45.0,2,41,1,0,0,0,1,0,1.0,16.0,0,1
3080,25345.0,8,3.0,3.0,125.0,2,111,1,0,0,0,1,0,2.0,17.0,0,1
3081,4509.0,4,1.0,1.0,1500.0,2,141,1,0,0,0,1,0,1.0,18.0,0,1
3082,68915.0,3,1.0,2.0,36.0,2,186,1,0,0,0,1,0,1.0,18.0,0,1
3083,16742.0,2,1.0,1.0,35.0,2,37,1,0,0,0,1,0,1.0,19.0,1,0
3084,68915.0,5,1.0,3.0,60.0,1,6,1,0,0,0,1,0,1.0,18.0,1,0
3085,24405.0,4,1.0,2.0,52.0,1,15,1,0,0,0,1,0,1.0,19.0,0,1
3086,33086.0,6,2.0,2.0,130.0,1,61,1,0,0,0,1,0,1.0,8.0,1,0
3087,165084.0,5,2.0,3.0,158.0,2,101,1,0,0,0,1,0,1.0,8.0,0,1
3088,10257.0,3,1.0,2.0,30.0,1,1,1,0,0,0,1,0,1.0,10.0,1,0
3089,32190.0,5,3.0,3.0,93.0,2,8,1,0,0,0,1,0,1.5,20.0,1,0
3090,38531.0,2,1.0,1.0,26.0,3,46,1,0,0,0,1,0,1.0,14.0,1,0
3091,33086.0,2,1.0,3.0,70.0,2,1,1,0,0,0,1,0,1.0,11.0,1,0
3092,4509.0,2,1.0,1.0,30.0,2,113,1,0,0,0,1,0,1.0,16.0,1,0
3093,10257.0,4,2.0,2.0,54.0,3,38,1,0,0,0,1,0,1.5,17.0,0,1
3094,23411.0,3,1.0,1.0,25.0,2,23,1,0,0,0,1,0,1.0,18.0,1,0
3095,25345.0,4,1.0,2.0,56.0,2,131,1,0,0,0,1,0,1.0,20.0,0,1
3096,165084.0,3,1.0,1.0,150.0,1,51,1,0,0,0,1,0,1.0,20.0,0,1
3097,25345.0,6,2.0,3.0,89.0,2,174,1,0,0,0,1,0,2.0,20.0,0,1
3098,25345.0,2,1.0,1.0,42.0,1,68,1,0,0,0,1,0,1.0,19.0,1,0
3099,10103.0,2,1.0,1.0,30.0,2,70,1,0,0,0,1,0,1.0,20.0,0,1
3100,24405.0,5,2.0,2.0,120.0,1,25,1,0,0,0,1,0,1.0,19.0,0,1
3101,48959.0,2,1.0,1.0,35.0,2,16,1,0,0,0,1,0,1.0,16.0,1,0
3102,38531.0,4,2.0,2.0,58.0,2,62,1,0,0,0,1,0,1.0,19.0,0,1
3103,8220.0,6,2.0,3.0,25.0,1,38,1,0,0,0,1,0,1.0,20.0,1,0
3104,33086.0,6,2.0,3.0,89.0,1,332,1,0,0,0,1,0,1.0,19.0,0,1
3105,48959.0,5,2.0,5.0,98.0,2,3,1,0,0,0,1,0,1.0,18.0,0,1
3106,25345.0,3,2.0,2.0,81.0,2,152,1,0,0,0,1,0,1.0,20.0,0,1
3107,23411.0,3,1.0,2.0,29.0,2,98,1,0,0,0,1,0,1.0,19.0,0,1
3108,25392.0,4,1.0,2.0,29.0,2,12,1,0,0,0,1,0,1.0,18.0,1,0
3109,23411.0,3,1.0,1.0,49.0,1,26,1,0,0,0,1,0,1.0,15.0,0,1
3110,25345.0,3,1.0,2.0,29.0,1,86,1,0,0,0,1,0,1.0,16.0,0,1
3111,165084.0,5,2.0,3.0,120.0,2,84,1,0,0,0,1,0,1.0,8.0,0,1
3112,68915.0,5,3.0,4.0,155.0,1,1,1,0,0,0,1,0,1.5,14.0,1,0
