,id,host_is_superhost,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,Home or apt,Hotel room,Private room,Shared room,Private Bath,Shared Bath,bathrooms_number,amenities
8301,48991213,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3,1.0,2.0,54.0,2,12,1,0,0,0,1,0,1.0,15.0
8302,48991476,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3,1.0,2.0,54.0,2,0,1,0,0,0,1,0,1.0,15.0
8303,48991714,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3,1.0,2.0,54.0,2,7,1,0,0,0,1,0,1.0,15.0
8304,48991858,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,35.0,2,4,1,0,0,0,1,0,1.0,8.0
8305,49005985,f,ΙΛΙΣΙΑ,2,1.0,0.0,38.0,2,0,1,0,0,0,1,0,1.0,16.0
8306,49006087,f,ΠΕΤΡΑΛΩΝΑ,4,1.0,1.0,47.0,2,0,1,0,0,0,1,0,1.0,4.0
8307,49007961,t,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3,1.0,2.0,34.0,5,3,1,0,0,0,1,0,1.0,17.0
8308,49014686,f,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,2,1.0,1.0,56.0,1,41,1,0,0,0,1,0,1.5,14.0
8309,49022259,f,ΚΥΨΕΛΗ,4,1.0,1.0,34.0,3,2,1,0,0,0,1,0,1.0,13.0
8310,49026342,f,ΓΚΥΖΗ,4,2.0,3.0,50.0,3,0,1,0,0,0,1,0,1.0,18.0
8311,49027185,f,ΝΕΟΣ ΚΟΣΜΟΣ,6,2.0,2.0,140.0,3,0,1,0,0,0,1,0,2.0,19.0
8312,49049865,f,ΣΤΑΔΙΟ,4,2.0,2.0,57.0,1,10,1,0,0,0,1,0,1.5,17.0
8313,49050953,f,ΠΕΤΡΑΛΩΝΑ,4,2.0,2.0,53.0,1,23,1,0,0,0,1,0,1.0,16.0
8314,49083907,f,ΑΚΡΟΠΟΛΗ,2,1.0,1.0,100.0,2,5,1,0,0,0,1,0,1.0,16.0
8315,49084649,f,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,3,1.0,1.0,38.0,1,0,1,0,0,0,1,0,1.0,12.0
8316,49085913,f,ΑΚΡΟΠΟΛΗ,2,1.0,1.0,100.0,2,5,1,0,0,0,1,0,1.0,15.0
8317,49086947,f,ΑΚΡΟΠΟΛΗ,2,1.0,1.0,102.0,2,13,1,0,0,0,1,0,1.0,15.0
8318,49093420,t,ΑΚΡΟΠΟΛΗ,3,1.0,1.0,65.0,3,13,1,0,0,0,1,0,1.0,17.0
8319,49109435,f,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,6,2.0,4.0,52.0,2,28,1,0,0,0,1,0,1.0,19.0
8320,49119108,f,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,5,2.0,2.0,62.0,1,1,1,0,0,0,1,0,1.5,16.0
8322,49122810,t,ΝΕΟΣ ΚΟΣΜΟΣ,4,1.0,2.0,35.0,1,10,1,0,0,0,1,0,1.0,18.0
8323,49135220,t,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,1,1.0,1.0,19.0,7,0,0,0,1,0,0,1,1.0,19.0
8324,49137007,t,ΓΚΥΖΗ,1,1.0,0.0,15.0,7,0,0,0,1,0,0,1,1.0,11.0
8325,49138963,f,ΣΤΑΔΙΟ,6,1.0,3.0,55.0,2,2,1,0,0,0,1,0,2.0,14.0
8326,49139306,f,ΚΟΛΟΚΥΝΘΟΥ,4,1.0,4.0,49.0,3,2,1,0,0,0,1,0,1.0,10.0
8327,49150794,t,ΙΛΙΣΙΑ,5,2.0,5.0,83.0,2,14,1,0,0,0,1,0,1.0,15.0
8328,49164106,t,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,2,1.0,1.0,26.0,3,31,0,0,1,0,0,1,1.0,16.0
8329,49164950,f,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,5,2.0,3.0,70.0,2,1,1,0,0,0,1,0,1.0,16.0
8330,49165122,f,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,4,2.0,2.0,100.0,1,0,1,0,0,0,1,0,1.0,13.0
8331,49166799,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3,1.0,1.0,57.0,1,23,1,0,0,0,1,0,1.0,17.0
8332,49172529,f,ΝΕΟΣ ΚΟΣΜΟΣ,4,1.0,2.0,46.0,1,5,1,0,0,0,1,0,1.0,17.0
8333,49181631,f,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,3,1.0,2.0,27.0,1,0,1,0,0,0,1,0,1.0,18.0
8334,49188051,f,ΛΥΚΑΒΗΤΤΟΣ,3,1.0,1.0,50.0,3,0,1,0,0,0,1,0,1.0,19.0
8335,49204459,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,4,1.0,2.0,60.0,2,6,1,0,0,0,1,0,1.0,12.0
8336,49209405,f,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,2,1.0,1.0,90.0,1,0,1,0,0,0,1,0,1.5,13.0
8337,49212554,t,ΚΥΨΕΛΗ,2,1.0,1.0,21.0,2,11,1,0,0,0,1,0,1.0,14.0
